Student_ID,First_Name,Last_Name,Gender,Date_of_Birth,Admission_Date,Class_Section,Class_Level,Religion,Tribe,State_of_Origin,Parent_Name,Parent_Occupation,Parent_Income,Academic_Performance,Attendance_Rate,Special_Needs
93810,Adebayo,Kehinde,Male,1984-04-15,2017-04-23,B,SS1,Christianity,Yoruba,Ogun,Mary Kehinde,Ambulance person,438159,91,33.58719566,No
24592,Abiola,Tunde,Male,1985-12-23,2017-01-09,C,SS2,Islam,Yoruba,Oyo,Umar Tunde,Commercial art gallery manager,367302,4,39.22855058,No
13278,Kunle,Akinyemi,Female,1985-06-29,2018-07-16,A,SS1,Christianity,Yoruba,Oyo,Mary Akinyemi,Scientist forensic,345053,23,22.23488601,No
46048,Adeola,Mayowa,Male,1984-11-05,2020-03-05,C,SS1,Islam,Yoruba,Ondo,Umar Mayowa,Electronics engineer,62414,48,30.46613642,Yes
42098,Segun,Adeyemi,Male,1989-01-21,2019-09-05,D,SS1,Islam,Yoruba,Ogun,Umar Adeyemi,Public relations officer,279689,37,92.14684361,No
39256,Biodun,Tola,Male,2010-01-09,2018-08-21,B,SS3,Islam,Yoruba,Lagos,Umar Tola,Counselling psychologist,310123,98,67.3456133,Yes
28289,Biodun,Yinka,Male,1991-07-28,2017-02-11,D,SS3,Islam,Yoruba,Ogun,Fatimah Yinka,Psychologist sport and exercise,242243,40,27.33880518,No
23434,Seun,Jumoke,Male,2001-12-27,2019-01-20,B,SS2,Christianity,Yoruba,Ogun,John Jumoke,Theatre director,466461,65,38.04157335,No
98696,Olu,Jide,Female,1985-05-25,2016-10-25,A,SS3,Christianity,Yoruba,Ogun,Grace Jide,IT trainer,416435,20,95.59314731,No
81482,Yemi,Kunle,Male,2002-07-25,2019-02-15,C,SS1,Christianity,Yoruba,Lagos,Mary Kunle,Microbiologist,275429,35,30.0042262,Yes
21395,Damola,Jumoke,Male,2010-12-15,2020-05-11,C,SS1,Islam,Yoruba,Osun,Fatimah Jumoke,Surveyor rural practice,60767,17,99.61711966,No
87397,Ayo,Ayoade,Male,1990-09-30,2017-09-12,A,SS2,Islam,Yoruba,Ondo,Fatimah Ayoade,Multimedia programmer,421410,80,11.56571605,Yes
65302,Ade,Jide,Male,1991-10-20,2020-03-01,C,SS1,Islam,Yoruba,Ogun,Abdullahi Jide,Theatre stage manager,325343,14,36.51933184,Yes
14165,Seun,Jumoke,Male,1996-11-13,2019-10-15,D,SS3,Islam,Yoruba,Osun,Amina Jumoke,Analytical chemist,413757,56,24.35233255,Yes
13905,Kunle,Oluwatoyin,Male,1996-03-15,2019-04-20,A,SS3,Islam,Yoruba,Lagos,Fatimah Oluwatoyin,IT trainer,243089,42,18.52311208,Yes
22280,Yemi,Oladipo,Male,1998-05-08,2020-01-20,D,SS3,Islam,Yoruba,Lagos,Fatimah Oladipo,Civil Service fast streamer,382834,85,79.44305763,No
38657,Temitope,Akinloye,Female,2004-06-11,2018-04-14,B,SS1,Christianity,Yoruba,Ogun,John Akinloye,Mechanical engineer,334942,6,95.5375989,Yes
40495,Tunde,Ayoade,Male,1996-10-05,2020-10-15,C,SS2,Islam,Yoruba,Ogun,Umar Ayoade,Actuary,105746,26,59.64944216,Yes
76237,Damilola,Jumoke,Female,1997-09-25,2019-08-07,D,SS1,Islam,Yoruba,Ogun,Umar Jumoke,Designer interior/spatial,269479,91,39.88140039,Yes
88907,Funke,Akintola,Female,1993-10-07,2016-10-07,C,SS2,Christianity,Yoruba,Ondo,Grace Akintola,Pharmacist community,298333,39,59.40568462,Yes
13478,Tola,Femi,Male,1983-07-29,2019-08-05,B,SS3,Christianity,Yoruba,Lagos,Joseph Femi,Public relations officer,67582,37,71.7956773,Yes
83563,Kehinde,Mayowa,Male,1996-04-02,2019-02-18,C,SS3,Christianity,Yoruba,Ondo,John Mayowa,Lecturer higher education,196225,5,94.44412996,No
36062,Adewunmi,Adeyemi,Female,2005-11-28,2017-08-01,B,SS3,Christianity,Yoruba,Ondo,Grace Adeyemi,Legal secretary,278742,74,66.55076091,Yes
95181,Olu,Oluwatoyin,Female,1987-01-10,2019-09-10,A,SS1,Islam,Yoruba,Osun,Abdullahi Oluwatoyin,Chiropodist,342176,55,80.76716033,No
81426,Jumoke,Akinloye,Female,2001-03-13,2019-08-16,C,SS3,Islam,Yoruba,Oyo,Amina Akinloye,Embryologist clinical,418075,53,97.70975515,No
64987,Tola,Yomi,Male,1983-03-15,2016-10-15,A,SS2,Christianity,Yoruba,Ondo,Paul Yomi,Materials engineer,271383,10,41.13564119,No
38893,Gbenga,Kehinde,Male,2004-10-28,2016-05-05,B,SS1,Islam,Yoruba,Osun,Abdullahi Kehinde,Information officer,85095,62,11.61090274,Yes
68878,Kehinde,Oladipo,Female,2007-07-05,2020-05-13,A,SS2,Christianity,Yoruba,Ogun,Joseph Oladipo,Designer textile,84170,98,69.9002765,Yes
87236,Yinka,Adeniyi,Male,2004-01-15,2018-11-27,D,SS3,Islam,Yoruba,Oyo,Amina Adeniyi,Psychologist sport and exercise,95740,96,90.30288328,Yes
46463,Seun,Adeniyi,Male,1985-02-24,2019-12-11,A,SS1,Christianity,Yoruba,Oyo,Grace Adeniyi,Sports coach,187770,63,20.29800348,No
10851,Yinka,Bisi,Female,2008-09-20,2017-11-27,D,SS1,Islam,Yoruba,Osun,Umar Bisi,Electronics engineer,398495,97,12.85364312,Yes
30926,Biodun,Damilola,Male,2008-05-19,2017-04-26,B,SS1,Islam,Yoruba,Ogun,Fatimah Damilola,Advertising copywriter,237507,10,51.81834395,Yes
65392,Opeyemi,Segun,Female,2002-12-04,2020-03-18,B,SS2,Christianity,Yoruba,Ogun,Grace Segun,Print production planner,298840,100,25.56037374,No
54597,Yomi,Ogunleye,Female,1984-07-19,2020-06-26,C,SS3,Islam,Yoruba,Osun,Umar Ogunleye,Warehouse manager,260410,68,14.98432572,Yes
46421,Gbenga,Akinyemi,Female,2006-11-06,2020-06-18,D,SS1,Christianity,Yoruba,Ondo,Paul Akinyemi,Programmer multimedia,315873,18,48.38234892,Yes
30379,Biodun,Segun,Male,2011-11-11,2016-09-17,C,SS3,Islam,Yoruba,Ondo,Abdullahi Segun,Therapist horticultural,177523,91,12.11784679,Yes
38221,Olu,Yinka,Female,1985-06-21,2018-06-22,C,SS2,Christianity,Yoruba,Oyo,Paul Yinka,Teaching laboratory technician,122103,35,17.67277413,No
54118,Morenike,Damilola,Male,1995-03-04,2019-12-25,B,SS2,Islam,Yoruba,Ondo,Abdullahi Damilola,Presenter broadcasting,113444,78,60.54018402,No
23396,Segun,Tunde,Female,2000-02-10,2019-09-20,A,SS2,Islam,Yoruba,Ondo,Fatimah Tunde,Oceanographer,62640,70,57.01344321,No
22156,Bamidele,Mayowa,Male,1986-08-12,2016-09-03,B,SS2,Christianity,Yoruba,Lagos,Grace Mayowa,Public librarian,134932,75,51.24531111,Yes
59797,Bisi,Bisi,Female,1992-11-10,2020-01-23,B,SS1,Christianity,Yoruba,Ondo,Joseph Bisi,Financial planner,95286,98,12.66622445,Yes
22676,Mayowa,Femi,Female,2009-10-10,2018-07-22,A,SS1,Islam,Yoruba,Oyo,Fatimah Femi,Forensic psychologist,349064,71,75.10656557,No
57052,Kemisola,Gbenga,Male,2006-05-03,2017-04-06,D,SS1,Christianity,Yoruba,Oyo,Grace Gbenga,Midwife,147932,82,77.10738489,Yes
55082,Olu,Mayowa,Male,1993-04-03,2017-02-01,D,SS1,Islam,Yoruba,Lagos,Fatimah Mayowa,Tourist information centre manager,398463,7,25.82029319,Yes
89131,Funke,Adeniyi,Male,2003-08-22,2018-07-22,A,SS1,Islam,Yoruba,Lagos,Umar Adeniyi,Leisure centre manager,153031,71,98.52482722,No
44671,Morenike,Tunde,Male,1985-12-11,2018-02-11,A,SS3,Islam,Yoruba,Lagos,Abdullahi Tunde,Radiation protection practitioner,283885,71,21.44370415,Yes
15695,Olu,Yinka,Female,1992-07-30,2020-06-13,C,SS3,Christianity,Yoruba,Oyo,Mary Yinka,Oncologist,395957,95,76.15072883,No
70217,Biodun,Morenike,Male,2009-01-14,2019-08-21,A,SS2,Islam,Yoruba,Osun,Umar Morenike,Hydrologist,336218,2,93.2707229,No
80284,Adeola,Gbenga,Male,1997-11-22,2018-07-07,A,SS3,Christianity,Yoruba,Osun,Mary Gbenga,Architect,245725,53,48.44941263,No
26361,Segun,Damilola,Male,1995-12-24,2020-11-01,C,SS3,Islam,Yoruba,Osun,Amina Damilola,Facilities manager,342221,61,41.5762735,No
59615,Kehinde,Adewunmi,Female,1996-06-11,2016-05-28,D,SS3,Christianity,Yoruba,Lagos,Paul Adewunmi,Runner broadcasting/film/video,187891,72,21.25841009,Yes
20328,Funke,Akinwunmi,Female,2010-12-21,2020-09-07,A,SS1,Christianity,Yoruba,Lagos,Grace Akinwunmi,Clinical cytogeneticist,300546,20,68.93775643,No
82357,Morenike,Mayowa,Female,2005-06-25,2016-08-25,A,SS3,Islam,Yoruba,Ondo,Amina Mayowa,Pharmacist community,85032,14,33.8042764,No
48427,Taiwo,Tunde,Female,1984-01-19,2016-05-20,C,SS2,Christianity,Yoruba,Lagos,Joseph Tunde,Physiological scientist,464186,36,57.91164431,Yes
92397,Bamidele,Gbenga,Male,1999-02-16,2020-05-14,A,SS1,Christianity,Yoruba,Ondo,Grace Gbenga,Geophysical data processor,394070,12,43.68351341,Yes
91070,Kemisola,Ayoade,Female,1988-04-26,2016-11-30,C,SS2,Christianity,Yoruba,Ogun,Grace Ayoade,Technical brewer,147260,58,54.79826418,Yes
57400,Opeyemi,Morenike,Female,2001-02-24,2020-05-05,B,SS2,Islam,Yoruba,Lagos,Abdullahi Morenike,Oncologist,355198,36,48.64448994,No
85674,Kemisola,Tunde,Male,1990-06-25,2019-08-13,C,SS3,Islam,Yoruba,Lagos,Amina Tunde,Therapist horticultural,266665,54,77.6287087,No
35203,Oluwaseun,Akintola,Female,1987-08-22,2019-07-07,B,SS1,Islam,Yoruba,Ogun,Umar Akintola,Air cabin crew,110738,68,30.19495246,Yes
19116,Olu,Adebayo,Male,2008-05-29,2016-10-20,B,SS2,Christianity,Yoruba,Lagos,John Adebayo,Development worker community,343426,15,83.34070578,Yes
16006,Funke,Funmilayo,Male,1996-04-21,2019-12-14,C,SS3,Islam,Yoruba,Lagos,Umar Funmilayo,Science writer,70843,30,90.20849389,Yes
96673,Opeyemi,Akinyemi,Male,2010-02-09,2020-11-01,C,SS2,Islam,Yoruba,Osun,Abdullahi Akinyemi,Dietitian,171764,43,92.21017635,No
39871,Adebayo,Funmilayo,Male,2010-02-18,2018-02-26,C,SS3,Christianity,Yoruba,Osun,Mary Funmilayo,Hydrologist,156140,81,77.8527462,No
47930,Kunle,Adeyemi,Female,2011-11-26,2019-01-09,D,SS1,Islam,Yoruba,Lagos,Amina Adeyemi,Therapist speech and language,127273,25,38.08509033,Yes
20458,Abiola,Bamidele,Female,2001-07-27,2018-03-02,A,SS1,Islam,Yoruba,Lagos,Umar Bamidele,Scientist research (physical sciences),207466,52,75.28654862,No
40512,Yomi,Oluwatoyin,Female,1993-01-13,2020-12-24,C,SS2,Islam,Yoruba,Osun,Abdullahi Oluwatoyin,Engineer civil (contracting),119842,82,97.35805421,No
23238,Adeola,Yinka,Male,2004-07-28,2016-09-11,B,SS1,Christianity,Yoruba,Ondo,Grace Yinka,Tax inspector,441455,50,37.49153509,Yes
59823,Bisi,Ayoade,Female,1987-11-26,2020-04-13,B,SS3,Christianity,Yoruba,Oyo,Joseph Ayoade,Corporate treasurer,417774,35,25.99339202,Yes
46434,Oluwaseun,Tola,Male,1993-02-21,2016-02-20,C,SS2,Christianity,Yoruba,Osun,Joseph Tola,Conservator furniture,254844,71,22.98939107,No
69429,Adebayo,Akinloye,Male,2006-01-17,2016-12-19,A,SS2,Christianity,Yoruba,Ogun,Mary Akinloye,Lecturer further education,55868,56,49.58254023,Yes
93320,Ayotunde,Akinyemi,Male,2010-01-19,2019-12-09,A,SS1,Islam,Yoruba,Ogun,Amina Akinyemi,Audiological scientist,244960,80,98.88181738,No
57819,Ajoke,Adeyemi,Female,2007-10-25,2017-07-11,A,SS2,Islam,Yoruba,Lagos,Abdullahi Adeyemi,Chemical engineer,81454,86,86.69172084,No
31319,Jumoke,Tayo,Female,2005-01-17,2017-07-20,B,SS2,Christianity,Yoruba,Osun,Paul Tayo,Insurance broker,317489,70,36.98611822,No
58520,Kunle,Yemi,Female,1995-09-12,2019-05-05,C,SS1,Islam,Yoruba,Ogun,Umar Yemi,Counsellor,463184,81,84.2695683,Yes
56566,Tola,Damilola,Male,1983-05-19,2016-05-20,C,SS1,Christianity,Yoruba,Osun,Paul Damilola,Logistics and distribution manager,56378,33,12.26378917,Yes
37460,Abiola,Adelaja,Male,2001-10-31,2016-09-15,C,SS1,Christianity,Yoruba,Ogun,Paul Adelaja,Proofreader,109114,91,65.98353064,Yes
97841,Bamidele,Bamidele,Female,2001-11-20,2019-07-17,B,SS1,Christianity,Yoruba,Ondo,Paul Bamidele,Occupational hygienist,325022,76,39.96066646,Yes
44993,Kunle,Adelaja,Male,1987-10-23,2018-07-13,C,SS3,Islam,Yoruba,Osun,Amina Adelaja,Diagnostic radiographer,399129,52,10.61592194,No
99593,Adebayo,Akintola,Female,1987-03-12,2018-09-02,B,SS1,Christianity,Yoruba,Ondo,John Akintola,Psychiatrist,189401,91,54.92985267,Yes
94939,Kehinde,Oladipo,Female,1984-06-03,2020-12-29,B,SS1,Christianity,Yoruba,Lagos,Joseph Oladipo,Academic librarian,357008,81,76.916952,Yes
19358,Adewunmi,Afolayan,Female,1983-03-04,2019-11-14,A,SS2,Christianity,Yoruba,Ondo,Joseph Afolayan,Data scientist,328144,72,66.33293724,No
89840,Kemisola,Akinyemi,Male,2002-06-27,2019-10-29,C,SS3,Christianity,Yoruba,Oyo,Mary Akinyemi,Engineer control and instrumentation,54643,58,28.44620382,Yes
93227,Gbenga,Tunde,Female,2003-04-20,2018-04-03,C,SS3,Islam,Yoruba,Lagos,Fatimah Tunde,Drilling engineer,209039,41,75.87000972,No
32431,Kehinde,Akinloye,Male,1996-05-29,2018-11-26,D,SS3,Christianity,Yoruba,Oyo,John Akinloye,Illustrator,475439,66,54.26362825,No
80010,Femi,Oluwatoyin,Male,2001-04-11,2017-08-04,A,SS1,Christianity,Yoruba,Ondo,John Oluwatoyin,Information systems manager,121859,50,23.40106877,No
42087,Mayowa,Adeniyi,Female,2001-08-18,2017-10-17,B,SS1,Islam,Yoruba,Oyo,Abdullahi Adeniyi,Catering manager,217525,74,31.13906012,Yes
31417,Gbenga,Ogunleye,Female,1985-11-23,2017-07-29,A,SS3,Islam,Yoruba,Lagos,Fatimah Ogunleye,Electrical engineer,177756,41,60.25008415,Yes
70589,Ayotunde,Akinloye,Female,1993-05-14,2016-08-31,D,SS1,Christianity,Yoruba,Osun,Mary Akinloye,Fashion designer,301862,90,47.96701735,No
59735,Adeola,Yemi,Female,1990-02-23,2018-03-16,A,SS1,Christianity,Yoruba,Oyo,Paul Yemi,Engineer electronics,470072,13,54.20521319,No
45382,Abiola,Yomi,Male,2008-06-17,2016-11-26,A,SS1,Christianity,Yoruba,Oyo,Grace Yomi,Press sub,161967,43,46.88490792,Yes
93886,Taiwo,Adeyemi,Male,2008-03-24,2019-09-09,D,SS1,Christianity,Yoruba,Osun,Joseph Adeyemi,Chemical engineer,148915,45,25.21692354,Yes
83000,Abiola,Damilola,Female,2007-09-13,2020-07-18,A,SS1,Christianity,Yoruba,Ogun,Joseph Damilola,Financial risk analyst,398146,77,94.61811296,No
38785,Afolabi,Oluwatoyin,Male,1994-09-13,2016-02-25,A,SS2,Islam,Yoruba,Oyo,Amina Oluwatoyin,Designer exhibition/display,298910,35,78.11760686,No
